2023-02-22 18:52:53,316 - INFO - ####################################
2023-02-22 18:52:53,319 - INFO - ############Loading Model###########
2023-02-22 18:52:53,319 - INFO - ####################################
2023-02-22 18:56:59,686 - INFO - ####################################
2023-02-22 18:56:59,695 - INFO - ############Loading Model###########
2023-02-22 18:56:59,695 - INFO - ####################################
2023-02-23 11:32:09,115 - INFO - ####################################
2023-02-23 11:32:09,117 - INFO - ############Loading Model###########
2023-02-23 11:32:09,117 - INFO - ####################################
2023-02-23 11:39:05,615 - INFO - #####################################
2023-02-23 11:39:05,669 - INFO - ############Start Training###########
2023-02-23 11:39:05,669 - INFO - #####################################
2023-02-23 14:30:10,703 - INFO - #####################################
2023-02-23 14:30:10,703 - INFO - ############Start Training###########
2023-02-23 14:30:10,703 - INFO - #####################################
2023-02-23 14:30:15,290 - INFO - Env 04, Goal (-00.3, 003.8), Episode 00001, setp 035, Reward -4.3 , Distance 008.8, Crashed
2023-02-23 14:30:16,399 - INFO - Env 04, Goal (-07.3, 001.8), Episode 00002, setp 009, Reward -15.6, Distance 009.1, Crashed
2023-02-23 14:35:42,325 - INFO - #####################################
2023-02-23 14:35:42,325 - INFO - ############Start Training###########
2023-02-23 14:35:42,325 - INFO - #####################################
2023-02-23 14:35:57,040 - INFO - #####################################
2023-02-23 14:35:57,040 - INFO - ############Start Training###########
2023-02-23 14:35:57,040 - INFO - #####################################
2023-02-23 14:36:56,278 - INFO - #####################################
2023-02-23 14:36:56,279 - INFO - ############Start Training###########
2023-02-23 14:36:56,279 - INFO - #####################################
2023-02-23 14:37:05,891 - INFO - Env 02, Goal (-03.3, 000.2), Episode 00001, setp 089, Reward -12.4, Distance 008.5, Crashed
2023-02-23 14:37:09,279 - INFO - Env 04, Goal (-01.9, 002.6), Episode 00001, setp 120, Reward 2.3  , Distance 008.8, Crashed
2023-02-23 14:37:12,800 - INFO - Env 01, Goal (-01.1, -05.0), Episode 00001, setp 152, Reward 11.7 , Distance 009.1, Time out
2023-02-23 14:37:12,800 - INFO - Env 03, Goal (-06.3, -05.5), Episode 00001, setp 152, Reward -9.7 , Distance 008.2, Time out
2023-02-23 14:37:12,800 - INFO - Env 00, Goal (-00.6, 006.9), Episode 00001, setp 152, Reward 13.8 , Distance 008.5, Time out
2023-02-23 14:37:20,407 - INFO - Env 02, Goal (001.4, -07.4), Episode 00002, setp 137, Reward -32.5, Distance 009.5, Crashed
2023-02-23 14:37:21,464 - INFO - Env 03, Goal (007.7, -02.9), Episode 00002, setp 082, Reward -21.6, Distance 008.1, Crashed
2023-02-23 14:37:21,464 - INFO - Env 02, Goal (000.8, -08.7), Episode 00003, setp 009, Reward -15.8, Distance 008.4, Crashed
2023-02-23 14:37:22,683 - INFO - Env 03, Goal (005.6, 003.2), Episode 00003, setp 010, Reward -14.2, Distance 008.3, Crashed
2023-02-23 14:37:25,881 - INFO - Env 00, Goal (004.5, 006.2), Episode 00002, setp 119, Reward -29.4, Distance 009.9, Crashed
2023-02-23 14:37:26,178 - INFO - Env 04, Goal (-03.1, -01.9), Episode 00002, setp 152, Reward 10.6 , Distance 008.8, Time out
2023-02-23 14:37:28,195 - INFO - Env 04, Goal (005.6, 001.3), Episode 00003, setp 018, Reward -15.1, Distance 008.9, Crashed
2023-02-23 14:37:29,104 - INFO - Env 03, Goal (-07.2, -01.2), Episode 00004, setp 053, Reward -8.8 , Distance 009.8, Crashed
2023-02-23 14:37:29,571 - INFO - Env 04, Goal (003.8, 005.7), Episode 00004, setp 010, Reward -14.3, Distance 008.9, Crashed
2023-02-23 14:37:30,403 - INFO - Env 01, Goal (007.4, 003.2), Episode 00002, setp 152, Reward 13.7 , Distance 008.8, Time out
2023-02-23 14:37:31,406 - INFO - Env 04, Goal (-05.6, -02.7), Episode 00005, setp 015, Reward -17.3, Distance 009.0, Crashed
2023-02-23 14:37:33,476 - INFO - Env 01, Goal (-00.1, 000.3), Episode 00003, setp 028, Reward -17.0, Distance 008.7, Crashed
2023-02-23 14:37:34,367 - INFO - Env 01, Goal (002.7, -07.4), Episode 00004, setp 007, Reward -15.8, Distance 009.3, Crashed
2023-02-23 14:37:34,675 - INFO - Env 00, Goal (001.3, 004.2), Episode 00003, setp 068, Reward -6.4 , Distance 009.4, Crashed
2023-02-23 14:37:38,406 - INFO - Env 00, Goal (002.1, 001.2), Episode 00004, setp 035, Reward -19.4, Distance 009.6, Crashed
2023-02-23 14:37:39,869 - INFO - Env 02, Goal (007.4, 000.1), Episode 00004, setp 152, Reward 15.3 , Distance 009.9, Time out
2023-02-23 14:37:41,180 - INFO - Env 04, Goal (007.3, 005.1), Episode 00006, setp 083, Reward -19.7, Distance 009.3, Crashed
2023-02-23 14:37:45,680 - INFO - Env 02, Goal (001.1, 001.5), Episode 00005, setp 053, Reward -19.1, Distance 008.2, Crashed
2023-02-23 14:37:46,776 - INFO - Env 03, Goal (007.8, -03.8), Episode 00005, setp 152, Reward -4.6 , Distance 009.5, Time out
2023-02-23 14:37:48,191 - INFO - Env 00, Goal (007.6, 002.3), Episode 00005, setp 086, Reward -24.7, Distance 009.6, Crashed
2023-02-23 14:37:51,473 - INFO - Env 01, Goal (002.8, -03.9), Episode 00005, setp 152, Reward 15.7 , Distance 008.4, Time out
2023-02-23 14:37:53,879 - INFO - Env 03, Goal (-04.7, 002.4), Episode 00006, setp 064, Reward -21.0, Distance 009.1, Crashed
2023-02-23 14:37:54,700 - INFO - Env 04, Goal (005.1, 000.8), Episode 00007, setp 121, Reward -27.0, Distance 008.7, Crashed
2023-02-23 14:38:00,382 - INFO - Env 02, Goal (004.6, -01.5), Episode 00006, setp 132, Reward -21.9, Distance 009.7, Crashed
2023-02-23 14:38:04,706 - INFO - Env 00, Goal (001.5, -04.9), Episode 00006, setp 152, Reward 0.8  , Distance 009.9, Time out
2023-02-23 14:38:08,087 - INFO - Env 01, Goal (-06.3, 005.9), Episode 00006, setp 152, Reward 8.4  , Distance 009.6, Time out
2023-02-23 14:38:09,100 - INFO - Env 00, Goal (007.5, -01.6), Episode 00007, setp 038, Reward -18.1, Distance 009.1, Crashed
2023-02-23 14:38:10,878 - INFO - Env 03, Goal (-02.4, -04.6), Episode 00007, setp 152, Reward -5.6 , Distance 008.5, Time out
2023-02-23 14:38:11,682 - INFO - Env 04, Goal (000.9, -04.0), Episode 00008, setp 152, Reward 0.0  , Distance 009.0, Time out
2023-02-23 14:38:13,091 - INFO - Env 03, Goal (-05.5, 001.7), Episode 00008, setp 017, Reward -13.9, Distance 008.9, Crashed
2023-02-23 14:38:14,572 - INFO - Env 00, Goal (-01.1, 001.6), Episode 00008, setp 045, Reward -17.6, Distance 008.2, Crashed
2023-02-23 14:38:16,114 - INFO - Env 03, Goal (001.5, -00.9), Episode 00009, setp 026, Reward -17.5, Distance 008.8, Crashed
2023-02-23 14:38:18,205 - INFO - Env 02, Goal (001.2, -05.7), Episode 00007, setp 152, Reward 8.3  , Distance 008.5, Time out
2023-02-23 14:38:19,774 - INFO - Env 04, Goal (004.5, -01.2), Episode 00009, setp 068, Reward -19.0, Distance 008.3, Crashed
2023-02-23 14:38:20,793 - INFO - Env 02, Goal (-05.4, -00.9), Episode 00008, setp 021, Reward -12.2, Distance 008.3, Crashed
2023-02-23 14:38:26,281 - INFO - Env 01, Goal (004.7, 002.0), Episode 00007, setp 152, Reward 15.7 , Distance 008.8, Time out
2023-02-23 14:38:27,506 - INFO - Env 04, Goal (000.2, -01.7), Episode 00010, setp 069, Reward -20.2, Distance 008.7, Crashed
2023-02-23 14:38:28,681 - INFO - Env 00, Goal (-00.1, 008.3), Episode 00009, setp 121, Reward -26.8, Distance 008.3, Crashed
2023-02-23 14:38:29,892 - INFO - Env 02, Goal (007.4, 005.0), Episode 00009, setp 080, Reward -6.0 , Distance 009.3, Crashed
2023-02-23 14:38:33,604 - INFO - Env 03, Goal (-03.8, 004.6), Episode 00010, setp 152, Reward 7.6  , Distance 009.3, Time out
2023-02-23 14:38:34,785 - INFO - Env 02, Goal (007.3, -00.9), Episode 00010, setp 044, Reward -20.5, Distance 009.8, Crashed
2023-02-23 14:38:43,174 - INFO - Env 01, Goal (008.4, -03.0), Episode 00008, setp 152, Reward 8.6  , Distance 008.6, Time out
2023-02-23 14:38:44,500 - INFO - Env 04, Goal (001.8, 004.7), Episode 00011, setp 152, Reward 13.9 , Distance 009.1, Time out
2023-02-23 14:38:45,574 - INFO - Env 00, Goal (002.1, 003.4), Episode 00010, setp 152, Reward 19.3 , Distance 009.2, Time out
2023-02-23 14:38:49,079 - INFO - Env 00, Goal (004.6, -05.8), Episode 00011, setp 034, Reward -18.8, Distance 009.5, Crashed
2023-02-23 14:38:50,362 - INFO - Env 03, Goal (004.7, 004.6), Episode 00011, setp 152, Reward -5.7 , Distance 008.7, Time out
2023-02-23 14:38:51,474 - INFO - Env 02, Goal (003.5, 003.4), Episode 00011, setp 152, Reward 12.0 , Distance 010.0, Time out
2023-02-23 14:38:54,671 - INFO - Env 01, Goal (-00.6, -06.9), Episode 00009, setp 101, Reward -26.6, Distance 009.4, Crashed
2023-02-23 14:39:00,998 - INFO - Env 04, Goal (-07.3, -02.7), Episode 00012, setp 152, Reward -17.4, Distance 008.1, Time out
2023-02-23 14:39:01,706 - INFO - Env 04, Goal (-06.8, -01.0), Episode 00013, setp 005, Reward -15.3, Distance 009.6, Crashed
2023-02-23 14:39:03,410 - INFO - Env 04, Goal (-07.6, 001.7), Episode 00014, setp 015, Reward -13.7, Distance 009.5, Crashed
2023-02-23 14:39:05,307 - INFO - Env 04, Goal (-02.6, 000.2), Episode 00015, setp 017, Reward -16.6, Distance 008.9, Crashed
2023-02-23 14:39:06,364 - INFO - Env 00, Goal (-01.2, 001.1), Episode 00012, setp 152, Reward 7.1  , Distance 008.2, Time out
2023-02-23 14:39:07,670 - INFO - Env 03, Goal (004.0, 006.5), Episode 00012, setp 152, Reward 13.7 , Distance 008.3, Time out
2023-02-23 14:39:08,891 - INFO - Env 02, Goal (-02.1, 002.1), Episode 00012, setp 152, Reward 13.8 , Distance 009.7, Time out
2023-02-23 14:39:11,197 - INFO - Env 04, Goal (002.0, -04.3), Episode 00016, setp 048, Reward -21.3, Distance 009.4, Crashed
2023-02-23 14:39:12,389 - INFO - Env 01, Goal (-01.1, -04.6), Episode 00010, setp 152, Reward 8.9  , Distance 008.4, Time out
2023-02-23 14:39:12,789 - INFO - Env 01, Goal (-00.7, -06.0), Episode 00011, setp 002, Reward -15.0, Distance 008.8, Crashed
